emoji,desc,unicode
😀,Faccina Con Un Gran Sorriso,U+1F600
😃,Faccina Con Un Gran Sorriso E Occhi Spalancati,U+1F603
😄,Faccina Con Sorriso E Occhi Sorridenti,U+1F604
😁,Faccina Raggiante Con Occhi Felici,U+1F601
😆,Sorriso A Bocca Aperta Con Occhi Chiusi,U+1F606
😅,Faccina Con Un Gran Sorriso E Goccia Di Sudore,U+1F605
🤣,Ridere A Crepapelle,U+1F923
😂,Faccina Con Lacrime Di Gioia,U+1F602
🙂,Faccina Con Sorriso Accennato,U+1F642
🙃,Faccina Sottosopra,U+1F643
😉,Faccina Che Fa L’occhiolino,U+1F609
😊,Faccina Con Occhi Sorridenti,U+1F60A
😇,Faccina Con Sorriso E Aureola,U+1F607
🥰,Faccina Con Cuoricini,U+1F970
😍,Faccina Con Sorriso E Occhi A Cuore,U+1F60D
🤩,Colpo Di Fulmine,U+1F929
😘,Faccina Che Manda Un Bacio,U+1F618
😗,Faccina Che Bacia,U+1F617
☺️,Faccina Sorridente,U+263A U+FE0F
😚,Faccina Che Bacia Con Occhi Chiusi,U+1F61A
😙,Faccina Che Bacia Con Occhi Sorridenti,U+1F619
🥲,Faccina Sorridente Con Lacrima,U+1F972
😋,Faccina Che Si Lecca I Baffi,U+1F60B
😛,Faccina Che Mostra La Lingua,U+1F61B
😜,Faccina Che Fa L’occhiolino E Mostra La Lingua,U+1F61C
🤪,Faccina Impazzita,U+1F92A
😝,Faccina Con Un Gran Sorriso Che Mostra La Lingua,U+1F61D
🤑,Faccina Avida Di Denaro,U+1F911
🤗,Faccina Che Abbraccia,U+1F917
🤭,Faccina Con Mano Sulla Bocca,U+1F92D
🤫,Faccina Che Zittisce,U+1F92B
🤔,Faccina Concentrata,U+1F914
🤐,Faccina Con Bocca Con Cerniera,U+1F910
🤨,Faccia Con Sopracciglia Alzate,U+1F928
😐,Faccina Neutra,U+1F610
😑,Faccina Inespressiva,U+1F611
😶,Faccina Senza Bocca,U+1F636
😏,Faccina Con Sorrisetto,U+1F60F
😒,Faccina Contrariata,U+1F612
🙄,Faccina Con Occhi Al Cielo,U+1F644
😬,Faccina Con Smorfia,U+1F62C
🤥,Faccina Bugiarda,U+1F925
😌,Faccina Sollevata,U+1F60C
😔,Faccina Pensierosa,U+1F614
😪,Faccina Assonnata,U+1F62A
🤤,Faccina Che Sbava,U+1F924
😴,Faccina Che Dorme,U+1F634
😷,Faccina Con Mascherina,U+1F637
🤒,Faccina Con Termometro,U+1F912
🤕,Faccina Con La Testa Bendata,U+1F915
🤢,Faccina Nauseata,U+1F922
🤮,Faccina Che Vomita,U+1F92E
🤧,Faccina Che Starnutisce,U+1F927
🥵,Faccina Accaldata,U+1F975
🥶,Faccina Congelata,U+1F976
🥴,Faccina Stordita,U+1F974
😵,Faccina Frastornata,U+1F635
🤯,Testa Che Esplode,U+1F92F
🤠,Faccina Con Cappello Da Cowboy,U+1F920
🥳,Faccina Che Festeggia,U+1F973
🥸,Faccina Travestita,U+1F978
😎,Faccina Con Sorriso E Occhiali Da Sole,U+1F60E
🤓,Faccina Nerd,U+1F913
🧐,Faccina Con Monocolo,U+1F9D0
😕,Faccina Confusa,U+1F615
😟,Faccina Preoccupata,U+1F61F
🙁,Faccina Leggermente Imbronciata,U+1F641
☹️,Faccina Imbronciata,U+2639 U+FE0F
😮,Faccina Con Bocca Aperta,U+1F62E
😯,Faccina Sorpresa,U+1F62F
😲,Faccina Stupita,U+1F632
😳,Faccina Imbarazzata,U+1F633
🥺,Faccina Supplichevole,U+1F97A
😦,Faccina Imbronciata Con Bocca Aperta,U+1F626
😧,Faccina Angosciata,U+1F627
😨,Faccina Impaurita,U+1F628
😰,Faccina Sudata In Ansia,U+1F630
😥,Faccina Delusa Ma Sollevata,U+1F625
😢,Faccina Che Piange,U+1F622
😭,Faccina Disperata,U+1F62D
😱,Faccina Terrorizzata,U+1F631
😖,Faccina Frustrata,U+1F616
😣,Faccina Perseverante,U+1F623
😞,Faccina Delusa,U+1F61E
😓,Faccina Sudata,U+1F613
😩,Faccina Esausta,U+1F629
😫,Faccina Stanca,U+1F62B
🥱,Faccina Che Sbadiglia,U+1F971
😤,Faccina Che Sbuffa,U+1F624
😡,Faccina Accigliata,U+1F621
😠,Faccina Arrabbiata,U+1F620
🤬,Faccina Con Simboli Sulla Bocca,U+1F92C
😈,Faccina Con Sorriso E Corna,U+1F608
👿,Faccina Arrabbiata Con Corna,U+1F47F
💀,Teschio,U+1F480
☠️,Teschio Con Ossa Incrociate,U+2620 U+FE0F
💩,Cacca,U+1F4A9
🤡,Faccina Pagliaccio,U+1F921
👹,Orco,U+1F479
👺,Goblin,U+1F47A
👻,Fantasma,U+1F47B
👽,Alieno,U+1F47D
👾,Mostro Alieno,U+1F47E
🤖,Faccina Di Robot,U+1F916
😺,Gatto Che Sorride,U+1F63A
😸,Gatto Che Sogghigna,U+1F638
😹,Gatto Con Lacrime Di Gioia,U+1F639
😻,Gatto Innamorato,U+1F63B
😼,Gatto Con Sorriso Sarcastico,U+1F63C
😽,Gatto Che Manda Baci,U+1F63D
🙀,Gatto Esterrefatto,U+1F640
😿,Gatto Che Piange,U+1F63F
😾,Gatto Imbronciato,U+1F63E
🙈,Non Vedo,U+1F648
🙉,Non Sento,U+1F649
🙊,Non Parlo,U+1F64A
💋,Impronta Della Bocca,U+1F48B
💌,Lettera D’amore,U+1F48C
💘,Cuore Con Freccia,U+1F498
💝,Cuore Con Fiocco,U+1F49D
💖,Cuore Che Luccica,U+1F496
💗,Cuore Che Cresce,U+1F497
💓,Cuore Che Batte,U+1F493
💞,Cuori Che Girano,U+1F49E
💕,Due Cuori,U+1F495
💟,Decorazione Con Cuore,U+1F49F
❣️,Punto Esclamativo A Cuore,U+2763 U+FE0F
💔,Cuore Infranto,U+1F494
❤️,Cuore Rosso,U+2764 U+FE0F
🧡,Cuore Arancione,U+1F9E1
💛,Cuore Giallo,U+1F49B
💚,Cuore Verde,U+1F49A
💙,Cuore Azzurro,U+1F499
💜,Cuore Viola,U+1F49C
🤎,Cuore Marrone,U+1F90E
🖤,Cuore Nero,U+1F5A4
🤍,Cuore Bianco,U+1F90D
💯,100 Punti,U+1F4AF
💢,Rabbia,U+1F4A2
💥,Collisione,U+1F4A5
💫,Stella Con Scia,U+1F4AB
💦,Gocce Di Sudore,U+1F4A6
💨,Nuvola Di Polvere,U+1F4A8
🕳️,Buco,U+1F573 U+FE0F
💣,Bomba,U+1F4A3
💬,Fumetto,U+1F4AC
👁️‍🗨️,Occhio Nel Fumetto,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F
🗨️,Nuvoletta Nera,U+1F5E8 U+FE0F
🗯️,Nuvoletta Rabbia,U+1F5EF U+FE0F
💭,Nuvoletta,U+1F4AD
💤,Sonno,U+1F4A4
